Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg)
"PLANTAIN, stem",0,0.0,0.0,0.2,0.0,0.0,7.0,0.0
PUMPKIN,50,0.1,0.0,0.5,13.0,3.0,2.0,136.0
PUMPKIN flowers,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIDGE GOURD,43,0.0,0.0,0.2,0.0,0.0,5.0,0.0
SNAKE GOURD,96,0.0,0.1,0.3,15.5,7.5,0.0,0.0
"SUNDAKAI, dry",450,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWORD BEANS,24,0.1,0.1,0.5,0.0,0.0,12.0,0.0
"TINDA, tender",13,0.0,0.1,0.3,0.0,0.0,18.0,0.0
"TOMOTO, green",192,0.1,0.0,0.4,0.0,0.0,31.0,0.0
VEGETABLE MARROW,0,0.0,0.0,0.4,0.0,0.0,18.0,0.0
"WATER CHEST NUT, fresh",12,0.1,0.1,0.6,0.0,0.0,9.0,0.0
"WATER CHESTNUT, dry",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMOND,0,0.2,0.6,4.4,0.0,0.0,0.0,0.0
ARECANUT,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVOCADOPEAR (nut),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASHEWNUT,60,0.6,0.2,1.2,0.0,0.0,0.0,0.0
CHILGOZA,0,0.3,0.3,3.6,0.0,0.0,0.0,0.0
"COCONUT,dry",0,0.1,0.0,3.0,16.5,15.3,7.0,0.0
"COCONUT, fresh",0,0.1,0.1,0.8,12.5,11.7,1.0,0.0
COCONUT tender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COCONUT, milk",0,0.1,0.0,0.6,0.0,0.0,3.0,0.0
"COCONUT, water",0,0.0,0.0,0.1,0.0,0.0,2.0,0.0
"COCONUT, meal deoiled",0,0.1,0.6,6.0,0.0,0.0,5.0,0.0
GARDEN CRESS SEEDS,27,0.6,0.6,14.3,0.0,0.0,0.0,0.0
GINGELLY SEEDS,60,1.0,0.3,4.4,134.0,51.0,0.0,0.0
GROUNDNUT,37,0.9,0.1,19.9,20.0,16.0,0.0,224.0
"GROUNDNUT, roasted",0,0.4,0.1,22.1,0.0,0.0,0.0,0.0
GROUNDNUT CAKE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINSEED,30,0.2,0.1,1.0,0.0,0.0,0.0,0.0
MUSTARD SEEDS,162,0.7,0.3,4.0,0.0,0.0,0.0,211.0
NIGER SEEDS,0,0.1,1.0,8.4,0.0,0.0,0.0,0.0
PISTACHIONUT,144,0.7,0.3,2.3,0.0,0.0,0.0,0.0
PIYAL SEEDS,0,0.7,0.5,1.5,0.0,0.0,5.0,0.0
SAFFLOWER SEEDS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNFLOWER SEEDS,0,0.9,0.2,4.5,0.0,0.0,1.0,0.0
WALNUT,6,0.5,0.4,1.0,0.0,0.0,0.0,0.0
WATER MELON SEEDS (kernal),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARISITHIPPILI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAFOETIDA,4,0.0,0.0,0.3,0.0,0.0,0.0,0.0
CARDAMOM,0,0.2,0.2,0.8,0.0,0.0,0.0,1550.0
"CHILLIES, dry",345,0.9,0.4,9.5,0.0,0.0,50.0,0.0
"CHILLIES, green",175,0.2,0.4,0.9,29.0,6.0,111.0,0.0
"CLOVES, dry",253,0.1,0.1,0.0,0.0,0.0,0.0,0.0
"CLOVES, green",72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORIANDER,942,0.2,0.3,1.1,32.0,27.4,0.0,1077.0
CUMIN SEEDS,522,0.6,0.4,2.6,0.0,0.0,3.0,1065.0
FENUGREEK SEEDS,96,0.3,0.3,1.1,84.0,14.5,0.0,1161.0
"GARLIC, dry",0,0.1,0.2,0.4,0.0,0.0,13.0,0.0
"GINGER, fresh",40,0.1,0.0,0.6,0.0,0.0,6.0,0.0
LIME PEEL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACE,3027,0.3,0.4,1.4,0.0,0.0,0.0,0.0
MANGO POWDER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUTMEG,0,0.3,0.0,1.4,0.0,0.0,0.0,0.0
NUTMEG rind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMUM,71,0.2,0.3,2.1,0.0,0.0,0.0,0.0
"PEPPER, dry",1080,0.1,0.1,1.4,0.0,0.0,0.0,0.0
"PEPPER, green",540,0.1,0.0,0.2,0.0,0.0,1.0,0.0
PEPPALI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POPPY SEEDS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMARIND PULP,60,0.0,0.1,0.7,0.0,0.0,3.0,0.0
TURMERIC,30,0.0,0.0,2.3,18.0,10.0,0.0,0.0
AMBADA,270,0.0,0.0,0.3,0.0,0.0,21.0,0.0
AMLA,9,0.0,0.0,0.2,0.0,0.0,600.0,256.0
APPLE,0,0.0,0.0,0.0,0.0,0.0,1.0,321.0
"APRICOT, fresh",2160,0.0,0.1,0.6,0.0,0.0,6.0,0.0
"APRICOT, dried",58,0.2,0.0,2.3,0.0,0.0,2.0,0.0
AVOCADO PEAR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAEL FRUIT,55,0.1,0.0,1.1,0.0,0.0,8.0,0.0
BANANA RIPE,78,0.1,0.1,0.5,0.0,0.0,7.0,0.0
BANYAN TREE FIGS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BILIMBI,18,0.1,0.0,0.6,0.0,0.0,32.0,0.0
BREAD FRUIT,9,0.0,0.1,0.0,0.0,0.0,21.0,0.0
BULLOCK'S HEART,67,0.0,0.1,0.6,0.0,0.0,5.0,0.0
CAPE GOOSEBERRY,1428,0.1,0.0,0.3,0.0,0.0,49.0,0.0
CASHEW FRUIT,23,0.0,0.1,0.4,0.0,0.0,180.0,0.0
"CHERRIES, red",0,0.1,0.1,0.3,0.0,0.0,7.0,0.0
"CURRANTS, black",21,0.0,0.1,0.4,0.0,0.0,1.0,0.0
"DATES, dried",26,0.0,0.0,0.9,0.0,0.0,3.0,0.0
DATES fresh,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIGS (Ficus carcia),3,0.1,0.1,0.6,0.0,0.0,5.0,0.0
"GRAPES, blue variety",0,0.0,0.0,0.2,0.0,0.0,1.0,0.0
"GRAPES, Pale green variety",0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"GRAPE FRUIT, Marsh's seedless",0,0.1,0.0,0.3,0.0,0.0,0.0,0.0
"GRAPE FRUIT, triumph",0,0.1,0.0,0.3,0.0,0.0,31.0,0.0
"GUAVA, country",0,0.0,0.0,0.4,0.0,0.0,212.0,0.0
"GUAVA, hill",0,0.0,0.0,0.3,0.0,0.0,15.0,0.0
HARFAROWRIE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACK FRUIT,175,0.0,0.1,0.4,0.0,0.0,7.0,0.0
"JAMB, safed",0,0.0,0.0,0.2,0.0,0.0,30.0,0.0
JAMBU FRUIT,48,0.0,0.0,0.2,0.0,0.0,18.0,7.0
KORUKKAPALLI,0,0.2,0.1,1.6,0.0,0.0,108.0,0.0
LAKUCH,254,0.0,0.1,0.3,0.0,0.0,135.0,0.0
LEMON,0,0.0,0.0,0.1,0.0,0.0,39.0,0.0
LEMON SWEET,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
LICHI,0,0.0,0.1,0.4,0.0,0.0,31.0,0.0
"LICHIES, bastard",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIME,15,0.0,0.0,0.1,0.0,0.0,63.0,0.0
"LIME, sweet, malta",0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
"LIME, sweet, musambi",0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
LOQUAT,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHUA,307,0.0,0.0,0.0,0.0,0.0,40.0,0.0
MANGO RIPE,2743,0.1,0.1,0.9,0.0,0.0,16.0,0.0
MANGOSTEEN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MELON, musk",169,0.1,0.1,0.3,0.0,0.0,26.0,0.0
